Country,Year,Cost of a healthy diet (PPP dollar per person per day),Happiness Index,Human Development Index,World Freedom Index,Quality of Life Index,Purchasing Power Index,Cost of Living Index,Property Price to Income Ratio,Pollution Index
Austria,2017,2.772,7.006,0.916,95,190.37,95.66,71.52,9.66,21.9
Austria,2018,2.848,7.294,0.917,94,182.5,82.38,70.38,10.88,22.19
Austria,2019,2.915,7.139,0.919,93,190.22,98.69,81.47,9.58,22.87
Austria,2020,3.004,7.246,0.913,93,191.05,96.7,71.79,10.14,21.97
Belgium,2018,2.962,6.923,0.933,95,164,98.91,83.35,7.1,48.92
Belgium,2019,3.047,6.927,0.936,96,153.47,86.28,71.78,6.91,52.94
Belgium,2020,3.159,6.891,0.928,96,160.52,91.02,75.36,6.96,48.92
Bulgaria,2017,3.78,5.102,0.802,80,129.8,49.37,36.7,8.52,65.33
Bulgaria,2018,3.876,5.011,0.81,80,130.59,52.18,37.17,8.72,63.98
Bulgaria,2019,4.036,4.933,0.809,80,138.2,51.4,36.49,9.07,63.12
Bulgaria,2020,4.129,4.714,0.808,80,129.69,54.44,41.21,8.58,63.03
Chile,2017,3.053,6.444,0.853,94,124.14,54.13,47.73,13.51,65.54
Chile,2020,3.349,6.476,0.852,90,122.73,54.53,55.24,13.09,66.79
Colombia,2020,3.08,6.163,0.756,66,108.36,34.66,30.15,18.85,61.74
Colombia,2019,2.932,6.26,0.768,66,112.15,38.59,35.29,18.09,62.47
Croatia,2020,4.301,5.505,0.855,85,159.01,50.42,49.7,13.73,30.46
Croatia,2019,4.273,5.432,0.861,85,162.36,59.77,55.06,11.09,32.73
Croatia,2017,4.168,5.321,0.852,87,165.31,60.33,49.18,11.63,31.03
Croatia,2018,4.22,5.293,0.856,86,170.63,60.71,48,10.91,33.34
Denmark,2019,2.491,7.555,0.946,97,197.75,117.53,93.3,7.22,23.6
Denmark,2020,2.508,7.522,0.947,97,184.92,98.76,83.02,8.2,25.97
