Country,Year,Cost of a healthy diet (PPP dollar per person per day),Crude Birth Rates,Food Price Inflation,Global Peace Index,Global Terrorism Index,Happiness Index,Human Development Index,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Poverty Headcount,Agriculture Gross Production Index,Meat Gross Production Index,Employment,World Population
Austria,2021,3.027,9.6,1.595208,1.319,3.257,7.268,0.916,182.37,78.23,74.77,78.4,75.49,10.4,25.68,19.2,77.79,14.8,99.79,93.44,1720.37,8922082
Belgium,2021,3.125,10.2,0.237612,1.515,1.742,6.834,0.937,150.89,76.54,55.83,75.2,78.52,6.91,36.24,50.27,86.03,13.2,102.55,101.87,696.24,11611419
Bulgaria,2021,4.151,8.5,7.245142,1.556,0.0,5.266,0.795,126.34,40.26,61.88,56.13,40.92,8.97,29.39,64.48,82.76,22.9,108.48,105.13,764.23,6885868
Colombia,2021,3.301,14.204,15.337055,2.689,7.088,6.012,0.752,101.33,26.13,44.23,66.72,31.0,18.67,47.34,62.88,88.3,39.3,103.56,107.94,4433.03,51516562
Costa Rica,2021,3.925,11.873,3.615387,1.718,0.0,7.069,0.809,121.65,39.01,44.66,62.92,50.64,10.07,60.19,44.07,99.48,26.2,102.84,114.63,575.98,5153957
Croatia,2021,4.29,9.4,5.571566,1.459,0.0,5.882,0.858,156.1,43.13,75.09,64.23,56.36,14.2,28.13,30.58,89.69,18.0,81.99,119.32,623.23,4060135
Cyprus,2021,2.955,10.313,-3.111794,1.898,1.928,6.223,0.896,144.06,52.34,68.03,52.71,64.05,7.12,23.44,56.77,93.34,13.9,110.37,104.94,85.07,1244188
Denmark,2021,2.5,10.8,2.097235,1.293,0.291,7.62,0.948,190.01,94.73,73.28,79.96,91.67,6.66,28.69,20.4,81.8,12.4,102.93,106.56,1093.04,5854240
Ecuador,2021,3.035,16.817,0.592376,2.012,2.763,5.764,0.74,118.76,30.54,45.59,68.81,40.08,12.59,39.57,58.34,94.51,27.7,102.7,102.2,2799.05,17797737
Estonia,2021,3.29,10.0,5.337755,1.558,0.0,6.189,0.89,173.56,61.22,76.62,72.83,56.45,9.11,24.72,19.01,64.28,22.8,98.16,74.72,237.85,1328701
Finland,2021,2.716,9.0,1.5485,1.406,1.006,7.842,0.94,182.79,89.05,72.99,76.4,77.46,8.64,28.96,11.86,56.64,12.7,93.53,102.88,686.27,5535992
France,2021,3.254,10.9,0.404933,1.923,4.574,6.69,0.903,150.73,74.06,50.8,80.99,80.62,13.48,34.53,41.79,89.94,15.6,96.65,95.29,6271.29,64531444
Germany,2021,3.082,9.6,4.531734,1.492,4.745,7.155,0.942,176.76,93.72,64.58,73.77,70.62,9.12,31.36,27.48,82.97,14.7,94.35,93.75,8743.44,83408554
Greece,2021,3.174,8.0,3.494029,1.898,4.891,5.723,0.887,129.86,38.95,55.86,56.96,60.96,10.13,33.94,51.95,94.18,18.8,95.56,94.71,803.16,10445365
